,0
0,3.129804725201988
1,-0.4210290756106808
2,2.3156727878969487
3,1.556075295519237
4,-0.18905919176631714
5,0.3059757545116818
6,-2.977465251273542
7,-1.3527887105776915
8,-0.2938161095169314
9,0.560705816715303
10,-0.4231927052357036
11,3.216243121379748
12,0.7912886302915971
13,4.138852425444959
14,-0.09913785508131356
15,-3.89973223452429
16,-4.931564580249107
17,0.9061140534114571
18,-0.14438956749508447
19,-1.2759399270385479
20,1.4632450763803868
21,3.432204126328427
22,-1.0150835575652073
23,-4.3779600862285015
24,2.186321228175408
25,-0.32381187249882815
26,-1.0354386994271536
27,1.437324200161572
28,0.11144410724185949
29,1.2468646233736527
30,4.417464587315703
31,-0.9269434978895228
32,2.884404050318424
33,0.14867371877424518
34,2.464987659050041
35,1.5996772687625607
36,3.1214523154886438
37,1.0737362845455092
38,-2.7162620687840886
39,-0.5750271535846203
