,Comments,Sample,CsPbI,FAPbI,MAPbI
0,Batch: 20190711-JT,#0-D1-22-CsPbI0.23 FAPbI0.77 MAPbI0.0 ,0.23,0.77,0.0
1,Batch: 20190711-JT,#1-C1-15-CsPbI0.71 FAPbI0.06 MAPbI0.23 ,0.71,0.06,0.23
2,Batch: 20190711-JT,#2-B1-8-CsPbI0.26 FAPbI0.37 MAPbI0.36 ,0.26,0.37,0.36
3,Batch: 20190711-JT,#3-A1-1-CsPbI0.96 FAPbI0.04 MAPbI0.0 ,0.96,0.04,0.0
4,Batch: 20190711-JT,#4-D2-23-CsPbI0.19 FAPbI0.7 MAPbI0.11 ,0.19,0.7,0.11
5,Batch: 20190711-JT,#5-C2-16-CsPbI0.7 FAPbI0.29 MAPbI0.01 ,0.7,0.29,0.01
6,Batch: 20190711-JT,#6-B2-9-CsPbI0.22 FAPbI0.78 MAPbI0.0 ,0.22,0.78,0.0
7,Batch: 20190711-JT,#7-A2-2-CsPbI0.71 FAPbI0.01 MAPbI0.28 ,0.71,0.01,0.28
8,Batch: 20190711-JT,#8-D3-24-CsPbI0.18 FAPbI0.76 MAPbI0.06 ,0.18,0.76,0.06
9,Batch: 20190711-JT,#9-C3-17-CsPbI0.66 FAPbI0.24 MAPbI0.1 ,0.66,0.24,0.1
10,Batch: 20190711-JT,#10-B3-10-CsPbI0.19 FAPbI0.81 MAPbI0.0 ,0.19,0.81,0.0
11,Batch: 20190711-JT,#11-A3-3-CsPbI0.68 FAPbI0.13 MAPbI0.19 ,0.68,0.13,0.19
12,Batch: 20190711-JT,#12-D4-25-CsPbI0.14 FAPbI0.84 MAPbI0.02 ,0.14,0.84,0.02
13,Batch: 20190711-JT,#13-C4-18-CsPbI0.57 FAPbI0.43 MAPbI0.0 ,0.57,0.43,0.0
14,Batch: 20190711-JT,#14-B4-11-CsPbI0.17 FAPbI0.82 MAPbI0.01 ,0.17,0.82,0.01
15,Batch: 20190711-JT,#15-A4-29-CsPbI0.0 FAPbI0.0 MAPbI1.0 ,0.0,0.0,1.0
16,Batch: 20190711-JT,#16-D5-26-CsPbI0.13 FAPbI0.79 MAPbI0.08 ,0.13,0.79,0.08
17,Batch: 20190711-JT,#17-C5-19-CsPbI0.37 FAPbI0.62 MAPbI0.01 ,0.37,0.62,0.01
18,Batch: 20190711-JT,#18-B5-12-CsPbI0.16 FAPbI0.83 MAPbI0.01 ,0.16,0.83,0.01
19,Batch: 20190711-JT,#19-A5-5-CsPbI0.43 FAPbI0.57 MAPbI0.0 ,0.43,0.57,0.0
20,Batch: 20190711-JT,#20-D6-27-CsPbI0.09 FAPbI0.91 MAPbI0.0 ,0.09,0.91,0.0
21,Batch: 20190711-JT,#21-C6-20-CsPbI0.32 FAPbI0.68 MAPbI0.0 ,0.32,0.68,0.0
22,Batch: 20190711-JT,#22-B6-13-CsPbI0.1 FAPbI0.9 MAPbI0.0 ,0.1,0.9,0.0
23,Batch: 20190711-JT,#23-A6-6-CsPbI0.41 FAPbI0.58 MAPbI0.01 ,0.41,0.58,0.01
24,Batch: 20190711-JT,#24-D7-28-CsPbI0.06 FAPbI0.85 MAPbI0.09 ,0.06,0.85,0.09
25,Batch: 20190711-JT,#25-C7-21-CsPbI0.25 FAPbI0.71 MAPbI0.04 ,0.25,0.71,0.04
26,Batch: 20190711-JT,#26-B7-14-CsPbI0.09 FAPbI0.87 MAPbI0.04 ,0.09,0.87,0.04
27,Batch: 20190711-JT,#27-A7-7-CsPbI0.26 FAPbI0.74 MAPbI0.0 ,0.26,0.74,0.0
