,Comments,Sample,CsPbI,FAPbI,MAPbI
0,Batch: 20190722-JT,#0-D1-24-CsPbI0.22 FAPbI0.72 MAPbI0.06 ,0.22,0.72,0.06
1,Batch: 20190722-JT,#1-C1-16-CsPbI0.69 FAPbI0.31 MAPbI0.0 ,0.69,0.31,0.0
2,Batch: 20190722-JT,#2-B1-8-CsPbI0.25 FAPbI0.75 MAPbI0.0 ,0.25,0.75,0.0
3,Batch: 20190722-JT,#3-A1-1-CsPbI0.76 FAPbI0.24 MAPbI0.0 ,0.76,0.24,0.0
4,Batch: 20190722-JT,#4-D2-26-CsPbI0.18 FAPbI0.82 MAPbI0.0 ,0.18,0.82,0.0
5,Batch: 20190722-JT,#5-C2-17-CsPbI0.44 FAPbI0.55 MAPbI0.01 ,0.44,0.55,0.01
6,Batch: 20190722-JT,#6-B2-9-CsPbI0.2 FAPbI0.69 MAPbI0.11 ,0.2,0.69,0.11
7,Batch: 20190722-JT,#7-A2-2-CsPbI0.59 FAPbI0.41 MAPbI0.0 ,0.59,0.41,0.0
8,Batch: 20190722-JT,#8-D3-27-CsPbI0.16 FAPbI0.7 MAPbI0.14 ,0.16,0.7,0.14
9,Batch: 20190722-JT,#9-C3-18-CsPbI0.38 FAPbI0.62 MAPbI0.0 ,0.38,0.62,0.0
10,Batch: 20190722-JT,#10-B3-10-CsPbI0.18 FAPbI0.78 MAPbI0.04 ,0.18,0.78,0.04
11,Batch: 20190722-JT,#11-A3-3-CsPbI0.53 FAPbI0.47 MAPbI0.0 ,0.53,0.47,0.0
12,Batch: 20190722-JT,#12-D4-29-CsPbI0.13 FAPbI0.87 MAPbI0.0 ,0.13,0.87,0.0
13,Batch: 20190722-JT,#13-C4-19-CsPbI0.31 FAPbI0.36 MAPbI0.33 ,0.31,0.36,0.33
14,Batch: 20190722-JT,#14-B4-11-CsPbI0.16 FAPbI0.75 MAPbI0.09 ,0.16,0.75,0.09
15,Batch: 20190722-JT,#15-A4-4-CsPbI0.32 FAPbI0.67 MAPbI0.01 ,0.32,0.67,0.01
16,Batch: 20190722-JT,#16-D5-30-CsPbI0.12 FAPbI0.77 MAPbI0.11 ,0.12,0.77,0.11
17,Batch: 20190722-JT,#17-C5-20-CsPbI0.3 FAPbI0.39 MAPbI0.32 ,0.3,0.39,0.32
18,Batch: 20190722-JT,#18-B5-12-CsPbI0.12 FAPbI0.81 MAPbI0.07 ,0.12,0.81,0.07
19,Batch: 20190722-JT,#19-A5-5-CsPbI0.31 FAPbI0.3 MAPbI0.39 ,0.31,0.3,0.39
20,Batch: 20190722-JT,#20-D6-31-CsPbI0.34 FAPbI0.66 MAPbI0.0 ,0.34,0.66,0.0
21,Batch: 20190722-JT,#21-C6-21-CsPbI0.27 FAPbI0.72 MAPbI0.01 ,0.27,0.72,0.01
22,Batch: 20190722-JT,#22-B6-13-CsPbI0.1 FAPbI0.89 MAPbI0.01 ,0.1,0.89,0.01
23,Batch: 20190722-JT,#23-A6-6-CsPbI0.28 FAPbI0.37 MAPbI0.35 ,0.28,0.37,0.35
24,Batch: 20190722-JT,#24-D7-32-CsPbI0.2 FAPbI0.8 MAPbI0.0 ,0.2,0.8,0.0
25,Batch: 20190722-JT,#25-C7-23-CsPbI0.24 FAPbI0.37 MAPbI0.39 ,0.24,0.37,0.39
26,Batch: 20190722-JT,#26-B7-14-CsPbI0.09 FAPbI0.85 MAPbI0.06 ,0.09,0.85,0.06
27,Batch: 20190722-JT,#27-A7-7-CsPbI0.27 FAPbI0.34 MAPbI0.4 ,0.27,0.34,0.4
